"2025-03-31","RAY'S VARIETY     _M","15.95",,"1484.46"
"2025-03-31","E-TRANSFER ***J5f",,"1500","1500.41"
"2025-03-31","PTS TO:  94006041995","5",,"0.41"
"2025-03-28","RAY'S VARIETY     _M","6",,"5.41"
"2025-03-28","METRO  247        _F","4.5",,"11.41"
"2025-03-28","SEND E-TFR ***GrG","10",,"15.91"
"2025-03-28","UBER CANADA/UBE   _V","9.1",,"25.91"
"2025-03-27","SEND E-TFR ***9XQ","41",,"35.01"
"2025-03-27","E-TRANSFER ***v6p",,"29.55","76.01"
"2025-03-27","E-TRANSFER ***x8K",,"29.92","46.46"
"2025-03-27","COSTCO WHOLESAL   _F","2.72",,"16.54"
"2025-03-27","COSTCO WHOLESAL","162.49",,"19.26"
"2025-03-27","E-TRANSFER ***dqa",,"100","181.75"
"2025-03-27","NADER O YONAN     _M","31.19",,"81.75"
"2025-03-25","EVENTBRITE/MIXE   _V","11.98",,"112.94"
"2025-03-25","NATURAL TIM'S     _M","5.51",,"124.92"
"2025-03-25","RAY'S VARIETY     _M","15.95",,"130.43"
"2025-03-25","SEND E-TFR ***DUD","6",,"146.38"
"2025-03-25","E-TRANSFER ***TKD",,"150","152.38"
"2025-03-24","AMZN Mktp CA      _V","214.69",,"2.38"
"2025-03-24","E-TRANSFER ***uN6",,"10","217.07"
"2025-03-24","E-TRANSFER ***386",,"53.8","207.07"
"2025-03-24","E-TRANSFER ***z8k",,"17.27","153.27"
"2025-03-24","E-TRANSFER ***GsB",,"65.8","136"
"2025-03-24","E-TRANSFER ***hxr",,"65","70.2"
"2025-03-21","RAY'S VARIETY     _M","15.95",,"5.2"
"2025-03-21","E-TRANSFER ***DhS",,"10","21.15"
"2025-03-21","UBER CANADA/UBE   _V","22.48",,"11.15"
"2025-03-18","E-TRANSFER ***fCu",,"24","33.63"
"2025-03-17","SEND E-TFR ***mu3","30",,"9.63"
"2025-03-17","E-TRANSFER ***gxU",,"30","39.63"
"2025-03-17","BABAZ             _M","25.3",,"9.63"
"2025-03-17","E-TRANSFER ***pAH",,"20","34.93"
"2025-03-17","UBER CANADA/UBE   _V","11.2",,"14.93"
"2025-03-17","E-TRANSFER ***pNv",,"20","26.13"
"2025-03-14","BTRMLK            _M","29.66",,"6.13"
"2025-03-13","RAY'S VARIETY     _M","15.95",,"35.79"
"2025-03-13","E-TRANSFER ***np8",,"24","51.74"
"2025-03-12","E-TRANSFER ***bnc",,"25","27.74"
"2025-03-11","COSTCO WHOLESAL   _F","56.49",,"2.74"
"2025-03-10","BABAZ             _M","25.1",,"59.23"
"2025-03-10","LT105 TFR-FR 6041995",,"5","84.33"
"2025-03-10","RAY'S VARIETY     _M","20.5",,"79.33"
"2025-03-10","SEND E-TFR ***RfK","12.57",,"99.83"
"2025-03-07","METRO  247        _F","8.99",,"112.4"
"2025-03-06","THE SPOKE         _M","7.67",,"121.39"
"2025-03-06","UCC TIM'S UPPER   _M","5.85",,"129.06"
"2025-03-06","CHEFSPLATE        _V","15.95",,"134.91"
"2025-03-06","SQ *THE CANADIA   _M","26.48",,"150.86"
"2025-03-05","UBER CANADA/UBE   _V","11",,"177.34"
"2025-03-05","7 ELEVEN STORE    _M","7.91",,"188.34"
"2025-03-04","E-TRANSFER ***fED",,"5","196.25"
"2025-03-04","Amazon.ca Prime   _V","11.29",,"191.25"
"2025-03-04","DD/DOORDASHWEND   _V","0.85",,"202.54"
"2025-03-03","Letus Rent       MSP","875",,"203.39"
"2025-03-03","PTS TO:  94006041995","5",,"1078.39"
"2025-03-03","RAY'S VARIETY     _M","54",,"1083.39"
"2025-03-03","SEND E-TFR ***QUm","18.75",,"1137.39"
"2025-03-03","UBER CANADA/UBE   _V",,"19.81","1156.14"
"2025-03-03","UBER CANADA/UBE   _V","21.13",,"1136.33"
"2025-03-03","CEEPS BARNEYS L   _M","21",,"1157.46"
"2025-03-03","UBER CANADA/UBE   _V","19.81",,"1178.46"
"2025-03-03","OPENAI *CH   22.40_V","33.55",,"1198.27"
"2025-03-03","BIC SOUVLAKI      _M","5",,"1231.82"
