09/03/2024,BUCK OR TWO PLU   _M,9.66,,1456.57
09/03/2024,SHOPPERS DRUG M   _M,36.59,,1419.98
09/03/2024,RAY'S VARIETY     _M,3.50,,1416.48
09/03/2024,METRO  247        _M,62.38,,1354.10
09/03/2024,SOONIES           _M,23.73,,1330.37
09/03/2024,AMZN Mktp CA      _V,124.29,,1206.08
09/03/2024,BABAZ             _M,13.70,,1192.38
09/03/2024,AMZN Mktp CA      _V,158.19,,1034.19
09/03/2024,METRO  247        _M,32.05,,1002.14
09/03/2024,SEND E-TFR ***9hW   ,10.00,,992.14
09/03/2024,Letus Rent       MSP,875.00,,117.14
09/04/2024,Rover            MSP,,9.60,126.74
09/04/2024,AMZN Mktp CA      _V,14.11,,112.63
09/04/2024,LS SIGNATURE VA   _M,19.76,,92.87
09/04/2024,E-TRANSFER ***FdV   ,,428.00,520.87
09/04/2024,COSTCO WHOLESAL     ,428.61,,92.26
09/04/2024,E-TRANSFER ***dnF   ,,46.00,138.26
09/04/2024,SEND E-TFR ***jQx   ,58.00,,80.26
09/05/2024,AMZN Mktp CA      _V,24.62,,55.64
09/05/2024,DOLLARAMA #1301   _M,39.02,,16.62
09/05/2024,Shelby's          _M,11.29,,5.33
09/05/2024,E-TRANSFER ***pT6   ,,3.00,8.33
09/05/2024,IW570 TFR-FR 6041995,,4.00,12.33
09/05/2024,SEND E-TFR ***5J7   ,10.25,,2.08
09/06/2024,E-TRANSFER ***JeP   ,,113.00,115.08
09/06/2024,ROVER.COM* PET    _V,113.22,,1.86
09/09/2024,E-TRANSFER ***qJV   ,,10.00,11.86
09/09/2024,ROVER.COM* PET    _V,11.10,,0.76
09/09/2024,ROVER.COM* PET    _V,,18.87,19.63
09/10/2024,ROVER.COM* PET    _V,,18.87,38.50
09/10/2024,RAY'S VARIETY     _F,15.75,,22.75
09/10/2024,RAY'S VARIETY     _M,3.50,,19.25
09/10/2024,E-TRANSFER ***YAC   ,,90.00,109.25
09/11/2024,THE BOOK STORE    _V,89.00,,20.25
09/11/2024,AMZN Mktp CA      _V,,24.62,44.87
09/11/2024,E-TRANSFER ***3x3   ,,500.00,544.87
09/11/2024,SEND E-TFR ***9yU   ,125.00,,419.87
09/11/2024,THE BOOK STORE    _M,22.54,,397.33
09/11/2024,RAY'S VARIETY     _M,40.93,,356.40
09/11/2024,SEND E-TFR ***ZVB   ,200.00,,156.40
09/11/2024,SEND E-TFR ***fxj   ,25.00,,131.40
09/12/2024,RAY'S VARIETY     _M,11.00,,120.40
09/13/2024,SEND E-TFR ***g8X   ,15.00,,105.40
09/13/2024,RAY'S VARIETY     _F,20.00,,85.40
09/16/2024,TD ATM W/D    003029,25.00,,60.40
09/16/2024,CEEPS BARNEYS L   _F,20.50,,39.90
09/16/2024,BIC SOUVLAKI      _M,20.00,,19.90
09/16/2024,E-TRANSFER ***9D7   ,,6.50,26.40
09/16/2024,E-TRANSFER ***MUR   ,,250.00,276.40
09/16/2024,IVEY PUBLISHING   _V,275.51,,0.89
09/18/2024,WB370 TFR-FR 6041995,,16.00,16.89
09/18/2024,SEND E-TFR ***neH   ,3.00,,13.89
09/18/2024,E-TRANSFER ***hc6   ,,17.00,30.89
09/18/2024,E-TRANSFER ***HR4   ,,5.00,35.89
09/18/2024,RAY'S VARIETY     _M,20.00,,15.89
09/19/2024,E-TRANSFER ***TNV   ,,83.00,98.89
09/19/2024,SEND E-TFR ***Fyk   ,83.00,,15.89
09/20/2024,E-TRANSFER ***8wC   ,,5.50,21.39
09/20/2024,E-TRANSFER ***fJd   ,,5.50,26.89
09/20/2024,E-TRANSFER ***8yJ   ,,3.30,30.19
09/20/2024,AMZN Mktp CA      _V,27.58,,2.61
09/23/2024,E-TRANSFER ***dRs   ,,200.00,202.61
09/23/2024,SEND E-TFR ***Vdr   ,10.90,,191.71
09/23/2024,SEND E-TFR ***84g   ,7.50,,184.21
09/24/2024,METRO  247        _F,31.57,,152.64
09/24/2024,E-TRANSFER ***pJw   ,,56.48,209.12
09/24/2024,AMZN Mktp CA      _V,56.48,,152.64
09/25/2024,ROVER.COM* PET    _V,37.74,,114.90
09/25/2024,WALMART STORE #   _M,28.31,,86.59
09/25/2024,LCBO/RAO #0200    _M,72.50,,14.09
09/25/2024,E-TRANSFER ***rxJ   ,,50.00,64.09
09/26/2024,ROVER.COM* PET    _V,37.74,,26.35
09/26/2024,E-TRANSFER ***8Sd   ,,30.00,56.35
09/26/2024,AMZN Mktp CA      _V,20.33,,36.02
09/26/2024,LEVEL UP BARBER   _F,27.12,,8.90
09/26/2024,E-TRANSFER ***RcJ   ,,20.00,28.90
09/26/2024,RAY'S VARIETY     _M,20.00,,8.90
09/26/2024,E-TRANSFER ***BPY   ,,4.00,12.90
09/27/2024,E-TRANSFER ***Zm2   ,,4.00,16.90
